country,year,gender,employment_type,economic_activity,employees_thousands,data_quality,data_source,indicator
Angola,2025,Female,Nature of job: Persons with formal main job,Economic activity (Broad sector): Services,136.58,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Aggregate): Total,3788.156,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Aggregate): Agriculture,167.637,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Aggregate): Manufacturing,224.483,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Aggregate): Construction,235.111,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",186.877,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",1334.699,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",1639.349,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Aggregate): Total,3191.265,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Aggregate): Agriculture,155.956,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Aggregate): Manufacturing,176.625,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Aggregate): Construction,174.126,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",108.483,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",1016.367,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",1559.707,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Aggregate): Total,596.891,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Aggregate): Agriculture,11.681,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Aggregate): Manufacturing,47.858,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Aggregate): Construction,60.985,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",78.394,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",318.332,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",79.642,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Aggregate): Total,2534.774,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Aggregate): Agriculture,134.637,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Aggregate): Manufacturing,184.357,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Aggregate): Construction,223.465,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",171.696,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",1016.932,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",803.688,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Aggregate): Total,2096.842,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Aggregate): Agriculture,125.191,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Aggregate): Manufacturing,143.597,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Aggregate): Construction,169.911,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",98.918,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",793.211,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",766.014,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Aggregate): Total,437.932,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Aggregate): Agriculture,9.446,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Aggregate): Manufacturing,40.76,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Aggregate): Construction,53.554,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",72.778,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",223.72,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",37.674,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Aggregate): Total,1253.382,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Aggregate): Agriculture,33.0,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Aggregate): Manufacturing,40.126,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Aggregate): Construction,11.646,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",15.181,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",317.768,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",835.661,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Aggregate): Total,1094.423,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
