ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,167.092,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,261.394,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,1253.382,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,33.0,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,1220.381,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,66.952,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,1153.429,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,1094.423,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,30.765,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,1063.658,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
